,city,city_id,country,max_temperature,wind_speed,Cloudiness,Longitude,Latitude,Humidity
472,Xining,1788852,CN,25.32,2.8,82,101.77,36.62,77
473,Ndjolé,2397674,GA,73.15,0.63,63,10.76,-0.18,95
474,Al Bardīyah,80509,LY,59.27,11.5,44,25.09,31.76,66
475,Mujiayingzi,2035707,CN,12.99,6.89,0,118.78,42.12,83
476,Russell,4047434,US,39.2,13.87,1,-85.2,32.35,55
477,Nishihara,1855342,JP,73.4,16.11,90,127.76,26.18,78
478,Vao,2137773,NC,77.72,16.49,36,167.48,-22.67,86
479,Santa Maria,3450083,BR,69.8,8.05,40,-53.81,-29.68,77
480,Minchianabad,1170398,PK,65.89,5.01,0,73.57,30.16,33
481,Ashington,2656947,GB,36.0,1.99,76,-0.39,50.93,91
482,Tilichiki,2120591,RU,10.92,2.73,100,166.1,60.47,96
483,Tsimlyansk,480876,RU,20.23,18.45,0,42.1,47.65,90
484,Ust-Kuyga,2013921,RU,-35.16,4.88,0,135.6,70.02,80
485,Tabas,113659,IR,39.2,2.24,0,56.92,33.6,86
486,Mayumba,2399001,GA,76.6,13.38,100,10.66,-3.43,90
487,Žagarė,592942,LT,23.0,18.34,0,23.25,56.36,79
488,Semme,3006387,FR,39.99,8.05,90,1.5,46.2,100
489,Tevriz,1489661,RU,18.7,4.43,100,72.4,57.51,97
490,Tuatapere,2180815,NZ,62.01,21.0,0,167.68,-46.13,68
491,Sibu,1735902,MY,82.4,3.36,40,111.82,2.3,88
492,Honningsvåg,779554,NO,34.34,13.0,19,25.97,70.98,86
493,Zaozyornoye,687726,UA,37.67,22.53,0,33.28,45.16,85
494,Sorong,1626542,ID,84.13,5.1,65,131.25,-0.88,77
495,Aborlan,1732385,PH,87.8,4.7,20,118.55,9.44,70
496,Río Cuarto,3838874,AR,66.99,11.01,0,-64.35,-33.13,53
497,Dalby,2169535,AU,82.99,5.99,100,151.27,-27.18,22
498,Tura,1254046,IN,70.0,0.98,1,90.22,25.52,65
499,Kosonsoy,1513714,UZ,30.2,4.7,90,71.55,41.26,92
500,Asheville,4453066,US,33.8,19.46,90,-82.55,35.6,69
501,Wamba,2319257,NG,75.13,2.13,21,8.6,8.93,28
502,Cleveland,5150529,US,36.0,16.11,90,-81.7,41.5,64
503,Okhotsk,2122605,RU,-3.39,16.96,97,143.3,59.38,88
504,Plastun,2017912,RU,21.83,9.57,0,136.29,44.76,79
505,Tazovsky,1489853,RU,-9.06,12.39,28,78.7,67.47,90
506,Karaton,1630058,ID,87.01,13.87,75,106.1,-6.34,88
507,São Miguel do Araguaia,3448455,BR,76.57,3.36,44,-50.16,-13.28,70
508,Mayfield,4300105,US,37.0,1.77,1,-88.64,36.74,86
509,Burnie,2173125,AU,63.0,8.99,95,145.92,-41.07,61
510,Øksfjord,778362,NO,32.0,8.05,100,22.35,70.24,92
